PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
257,35.5954493,137.0954644,-1.4,-169.727,-134.423,7,5337,71,93
258,35.595446,137.0954645,-1.4,-170.727,-134.405,7,5337,71,93
259,35.5954428,137.0954646,-1.4,-171.727,-134.387,7,5337,71,93
260,35.5954395,137.0954647,-1.4,-172.727,-134.369,7,5337,71,93
261,35.5954363,137.0954647,-1.4,-173.727,-134.351,7,5337,71,93
262,35.595433,137.0954648,-1.4,-174.727,-134.333,7,5337,71,93
263,35.5954298,137.0954649,-1.4,-175.727,-134.315,7,5337,71,93
264,35.5954266,137.0954649,-1.4,-176.727,-134.297,7,5337,71,93
265,35.5954233,137.095465,-1.4,-177.727,-134.279,7,5337,71,93
266,35.5954201,137.0954651,-1.4,-178.727,-134.261,7,5337,71,93
267,35.5954168,137.0954652,-1.4,-179.727,-134.243,7,5337,71,93
268,35.5954136,137.0954641,-1.4,-180.727,-134.213,7,5337,71,93
269,35.5954103,137.0954642,-1.4,-181.727,-134.179,7,5337,71,93
270,35.5954071,137.0954643,-1.4,-182.727,-134.158,7,5337,71,93
271,35.5954062,137.0954643,-1.4,-183.006,-134.147,7,5337,71,93
272,35.5953997,137.0954655,-1.4,-185.006,-133.996,7,5337,71,93
273,35.5953965,137.0954656,-1.4,-186.006,-133.977,7,5337,71,93
274,35.5953932,137.0954657,-1.4,-187.006,-133.958,7,5337,71,93
275,35.59539,137.0954658,-1.4,-188.006,-133.939,7,5337,71,93
276,35.5953867,137.0954658,-1.4,-189.006,-133.92,7,5337,71,93
277,35.5953835,137.0954659,-1.4,-190.006,-133.901,7,5337,71,93
278,35.5953802,137.095466,-1.4,-191.006,-133.882,7,5337,71,93
279,35.595377,137.0954661,-1.4,-192.006,-133.863,7,5337,71,93
280,35.5953737,137.0954662,-1.4,-193.006,-133.844,7,5337,71,93
281,35.5953705,137.0954662,-1.4,-194.006,-133.825,7,5337,71,93
282,35.5953672,137.0954663,-1.4,-195.006,-133.806,7,5337,71,93
283,35.595364,137.0954664,-1.4,-196.006,-133.787,7,5337,71,93
284,35.5953608,137.0954665,-1.4,-197.006,-133.768,7,5337,71,93
285,35.5953575,137.0954665,-1.4,-198.006,-133.749,7,5337,71,93
286,35.5953553,137.0954661,-1.4,-198.682,-133.707,7,5337,71,93
287,35.5953534,137.0954666,-1.4,-199.281,-133.725,7,5337,71,93
288,35.5953469,137.0954669,-1.4,-201.279,-133.645,7,5337,71,93
289,35.5953437,137.0954671,-1.4,-202.278,-133.605,7,5337,71,93
290,35.5953404,137.0954673,-1.4,-203.277,-133.565,7,5337,71,93
291,35.5953372,137.0954674,-1.4,-204.276,-133.525,7,5337,71,93
292,35.5953339,137.0954676,-1.4,-205.275,-133.485,7,5337,71,93
293,35.5953307,137.0954677,-1.4,-206.274,-133.445,7,5337,71,93
294,35.5953274,137.0954679,-1.4,-207.273,-133.405,7,5337,71,93
295,35.5953242,137.0954681,-1.4,-208.272,-133.365,7,5337,71,93
296,35.595321,137.0954682,-1.4,-209.271,-133.325,7,5337,71,93
297,35.5953177,137.0954684,-1.4,-210.27,-133.285,7,5337,71,93
298,35.5953145,137.0954685,-1.4,-211.269,-133.245,7,5337,71,93
299,35.5953112,137.0954687,-1.4,-212.268,-133.205,7,5337,71,93
300,35.595308,137.0954689,-1.4,-213.267,-133.165,7,5337,71,93
301,35.5953048,137.095469,-1.4,-214.266,-133.125,7,5337,71,93
302,35.5953015,137.0954692,-1.4,-215.265,-133.085,7,5337,71,93
303,35.5953001,137.0954693,-1.4,-215.714,-133.067,7,5337,71,93
304,35.5952936,137.0954694,-1.4,-217.714,-133.043,7,5337,71,93
305,35.5952903,137.0954694,-1.4,-218.714,-133.031,7,5337,71,93
306,35.5952871,137.0954694,-1.4,-219.714,-133.019,7,5337,71,93
307,35.5952838,137.0954695,-1.4,-220.714,-133.007,7,5337,71,93
308,35.5952806,137.0954695,-1.4,-221.714,-132.995,7,5337,71,93
309,35.5952773,137.0954696,-1.4,-222.714,-132.983,7,5337,71,93
310,35.5952741,137.0954696,-1.4,-223.714,-132.971,7,5337,71,93
311,35.5952709,137.0954697,-1.4,-224.714,-132.959,7,5337,71,93
312,35.5952676,137.0954697,-1.4,-225.714,-132.947,7,5337,71,93
313,35.5952644,137.0954698,-1.4,-226.714,-132.935,7,5337,71,93
314,35.5952611,137.0954698,-1.4,-227.714,-132.923,7,5337,71,93
315,35.5952579,137.0954699,-1.4,-228.714,-132.911,7,5337,71,93
316,35.5952546,137.0954699,-1.4,-229.714,-132.899,7,5337,71,93
317,35.5952514,137.09547,-1.4,-230.714,-132.887,7,5337,71,93
318,35.5952481,137.09547,-1.4,-231.714,-132.875,7,5337,71,93
319,35.5952456,137.0954701,-1.4,-232.488,-132.866,7,5337,71,93
320,35.5952391,137.0954702,-1.4,-234.488,-132.834,7,5337,71,93
